feature,pdp_e,pdp_p,diff,abs_diff
odor_n,0.5360318732913032,0.4066738794804077,-0.12935799381089552,0.12935799381089552
gill-size_b,0.5343503466903791,0.4542231566528868,-0.08012719003749225,0.08012719003749225
gill-size_n,0.46203340024351175,0.5275845354431321,0.06555113519962036,0.06555113519962036
odor_f,0.4685074009603004,0.5330666374504214,0.06455923649012096,0.06455923649012096
gill-color_b,0.4690792104389574,0.5276077133563379,0.05852850291738054,0.05852850291738054
stalk-surface-above-ring_k,0.4694732107338255,0.5132023711926359,0.04372916045881042,0.04372916045881042
odor_y,0.48186098152840806,0.5218137859336793,0.03995280440527127,0.03995280440527127
ring-type_p,0.49738246548287396,0.460337417775605,-0.03704504770726896,0.03704504770726896
stalk-surface-below-ring_k,0.4742783649333308,0.5089647834383652,0.034686418505034344,0.034686418505034344
spore-print-color_h,0.4722989054774075,0.5058981839218453,0.033599278444437775,0.033599278444437775
bruises_f,0.46028183680974777,0.4935605869888647,0.03327875017911691,0.03327875017911691
stalk-color-above-ring_g,0.48510748829843225,0.45513725886111656,-0.0299702294373157,0.0299702294373157
bruises_t,0.4938521229817,0.465821630764304,-0.028030492217396008,0.028030492217396008
stalk-color-below-ring_b,0.48188575921096405,0.5072025576143137,0.025316798403349605,0.025316798403349605
population_a,0.48445781719724285,0.46044480942345184,-0.024013007773791006,0.024013007773791006
stalk-surface-below-ring_s,0.4964120635871716,0.47337570497775805,-0.023036358609413554,0.023036358609413554
ring-type_l,0.47937720835795333,0.4998806795737362,0.020503471215782887,0.020503471215782887
population_v,0.47225408979100764,0.4920946481005952,0.019840558309587586,0.019840558309587586
gill-color_n,0.4854874637395659,0.4667966934145309,-0.018690770325035022,0.018690770325035022
habitat_p,0.48138275358432453,0.49993876487445826,0.018556011290133734,0.018556011290133734
stalk-surface-above-ring_s,0.49527404472848335,0.4769044541183083,-0.01836959061017507,0.01836959061017507
spore-print-color_k,0.4858836033775683,0.4677151029393254,-0.01816850043824292,0.01816850043824292
stalk-color-below-ring_g,0.4847333882989033,0.4666166783353213,-0.018116709963582,0.018116709963582
odor_p,0.4825280889157623,0.500605393422374,0.018077304506611658,0.018077304506611658
odor_s,0.4820260042880723,0.499224967320739,0.017198963032666714,0.017198963032666714
spore-print-color_n,0.4866021536012402,0.4696568193921676,-0.016945334209072627,0.016945334209072627
gill-spacing_w,0.4861000362559964,0.46961390783774726,-0.016486128418249146,0.016486128418249146
gill-color_w,0.48468690291840055,0.46852740303797713,-0.016159499880423422,0.016159499880423422
odor_c,0.482698672441258,0.4980900534145962,0.015391380973338198,0.015391380973338198
odor_a,0.4838617815910873,0.46859606121452513,-0.015265720376562153,0.015265720376562153
population_n,0.48387784398019157,0.4687948059173764,-0.01508303806281519,0.01508303806281519
stalk-color-above-ring_b,0.48230231527651324,0.49717633920392434,0.014874023927411106,0.014874023927411106
stalk-color-below-ring_w,0.4894864194244421,0.4776300875442403,-0.011856331880201798,0.011856331880201798
stalk-root_r,0.4835225857411733,0.4729503318817939,-0.010572253859379377,0.010572253859379377
cap-surface_f,0.48573305757343715,0.4754774700759787,-0.010255587497458474,0.010255587497458474
odor_l,0.48349584130008133,0.4739901997861958,-0.009505641513885554,0.009505641513885554
stalk-color-below-ring_n,0.4826635260429931,0.4921365144036872,0.009472988360694101,0.009472988360694101
gill-spacing_c,0.47649474301276956,0.4847597121563314,0.00826496914356184,0.00826496914356184
ring-number_o,0.47661815739664115,0.4838483188890841,0.0072301614924429325,0.0072301614924429325
stalk-color-above-ring_w,0.48624157292749115,0.4790718989183343,-0.007169674009156857,0.007169674009156857
stalk-color-above-ring_o,0.48345642354905705,0.47629505058582855,-0.007161372963228496,0.007161372963228496
cap-shape_b,0.48363378923804334,0.4767207883473658,-0.006913000890677534,0.006913000890677534
gill-color_h,0.4830584613660379,0.48917665110591974,0.006118189739881819,0.006118189739881819
gill-color_u,0.4837360380034244,0.47791548194359196,-0.005820556059832449,0.005820556059832449
