feature,summed_importance
odor,0.08419497784342689
gill-size,0.06437715411127531
spore-print-color,0.027695716395864323
cap-surface,0.008739537173806045
stalk-root,0.008124076809453595
population,0.00701624815361912
stalk-color-above-ring,0.004923682914820371
gill-color,0.003938946331856208
gill-spacing,0.002584933530280775
habitat,0.002461841457410241
cap-color,0.0023387493845395957
stalk-shape,0.0011078286558345862
ring-type,0.0006154603643526713
ring-number,0.0002461841457410685
cap-shape,0.0002461841457410685
veil-type,0.0
veil-color,0.0
gill-attachment,0.0
stalk-surface-below-ring,-0.0002461841457409575
stalk-color-below-ring,-0.000984736582963941
stalk-surface-above-ring,-0.0011078286558344752
bruises,-0.005292959133431752
